drugcentral_id,name,best_affinity_kcal_mol,output_pdbqt
585,clofedanol,-8.1,runs/full-3L4D-CYP51-screen/docked/585_out.pdbqt
668,clarithromycin,-8.1,runs/full-3L4D-CYP51-screen/docked/668_out.pdbqt
835,dexmedetomidine,-8.1,runs/full-3L4D-CYP51-screen/docked/835_out.pdbqt
865,diclofenac,-8.1,runs/full-3L4D-CYP51-screen/docked/865_out.pdbqt
875,diethylstilbestrol,-8.1,runs/full-3L4D-CYP51-screen/docked/875_out.pdbqt
101,alacepril,-8.0,runs/full-3L4D-CYP51-screen/docked/101_out.pdbqt
114,alfentanil,-8.0,runs/full-3L4D-CYP51-screen/docked/114_out.pdbqt
1195,flumazenil,-8.0,runs/full-3L4D-CYP51-screen/docked/1195_out.pdbqt
128,almotriptan,-8.0,runs/full-3L4D-CYP51-screen/docked/128_out.pdbqt
1327,goserelin,-8.0,runs/full-3L4D-CYP51-screen/docked/1327_out.pdbqt
1510,isoxsuprine,-8.0,runs/full-3L4D-CYP51-screen/docked/1510_out.pdbqt
1663,mefenamic acid,-8.0,runs/full-3L4D-CYP51-screen/docked/1663_out.pdbqt
1736,methanthelinium,-8.0,runs/full-3L4D-CYP51-screen/docked/1736_out.pdbqt
1857,mupirocin,-8.0,runs/full-3L4D-CYP51-screen/docked/1857_out.pdbqt
1883,naproxen,-8.0,runs/full-3L4D-CYP51-screen/docked/1883_out.pdbqt
1980,octreotide,-8.0,runs/full-3L4D-CYP51-screen/docked/1980_out.pdbqt
198,ampicillin,-8.0,runs/full-3L4D-CYP51-screen/docked/198_out.pdbqt
2029,oxycodone,-8.0,runs/full-3L4D-CYP51-screen/docked/2029_out.pdbqt
2078,penbutolol,-8.0,runs/full-3L4D-CYP51-screen/docked/2078_out.pdbqt
2136,phenoxybenzamine,-8.0,runs/full-3L4D-CYP51-screen/docked/2136_out.pdbqt
237,arbutamine,-8.0,runs/full-3L4D-CYP51-screen/docked/237_out.pdbqt
2390,ritodrine,-8.0,runs/full-3L4D-CYP51-screen/docked/2390_out.pdbqt
2403,ropivacaine,-8.0,runs/full-3L4D-CYP51-screen/docked/2403_out.pdbqt
2406,rosuvastatin,-8.0,runs/full-3L4D-CYP51-screen/docked/2406_out.pdbqt
2419,salmeterol,-8.0,runs/full-3L4D-CYP51-screen/docked/2419_out.pdbqt
2440,sibutramine,-8.0,runs/full-3L4D-CYP51-screen/docked/2440_out.pdbqt
2561,tamoxifen,-8.0,runs/full-3L4D-CYP51-screen/docked/2561_out.pdbqt
2579,tegaserod,-8.0,runs/full-3L4D-CYP51-screen/docked/2579_out.pdbqt
259,atracurium,-8.0,runs/full-3L4D-CYP51-screen/docked/259_out.pdbqt
2705,tolterodine,-8.0,runs/full-3L4D-CYP51-screen/docked/2705_out.pdbqt
2709,toremifene,-8.0,runs/full-3L4D-CYP51-screen/docked/2709_out.pdbqt
276,azithromycin,-8.0,runs/full-3L4D-CYP51-screen/docked/276_out.pdbqt
2847,warfarin,-8.0,runs/full-3L4D-CYP51-screen/docked/2847_out.pdbqt
3325,lodoxamide,-8.0,runs/full-3L4D-CYP51-screen/docked/3325_out.pdbqt
3462,phenyl salicylate,-8.0,runs/full-3L4D-CYP51-screen/docked/3462_out.pdbqt
3572,sulisobenzone,-8.0,runs/full-3L4D-CYP51-screen/docked/3572_out.pdbqt
408,brompheniramine,-8.0,runs/full-3L4D-CYP51-screen/docked/408_out.pdbqt
4177,gabapentin enacarbil,-8.0,runs/full-3L4D-CYP51-screen/docked/4177_out.pdbqt
4289,doconexent,-8.0,runs/full-3L4D-CYP51-screen/docked/4289_out.pdbqt
4468,esketamine,-8.0,runs/full-3L4D-CYP51-screen/docked/4468_out.pdbqt
4634,teriflunomide,-8.0,runs/full-3L4D-CYP51-screen/docked/4634_out.pdbqt
4944,tenofovir alafenamide,-8.0,runs/full-3L4D-CYP51-screen/docked/4944_out.pdbqt
5290,binimetinib,-8.0,runs/full-3L4D-CYP51-screen/docked/5290_out.pdbqt
5388,selumetinib,-8.0,runs/full-3L4D-CYP51-screen/docked/5388_out.pdbqt
682,clobazam,-8.0,runs/full-3L4D-CYP51-screen/docked/682_out.pdbqt
701,clomipramine,-8.0,runs/full-3L4D-CYP51-screen/docked/701_out.pdbqt
708,clopidogrel,-8.0,runs/full-3L4D-CYP51-screen/docked/708_out.pdbqt
757,cyclopentolate,-8.0,runs/full-3L4D-CYP51-screen/docked/757_out.pdbqt
801,demecarium,-8.0,runs/full-3L4D-CYP51-screen/docked/801_out.pdbqt
897,diltiazem,-8.0,runs/full-3L4D-CYP51-screen/docked/897_out.pdbqt
962,doxylamine,-8.0,runs/full-3L4D-CYP51-screen/docked/962_out.pdbqt
999,emedastine,-8.0,runs/full-3L4D-CYP51-screen/docked/999_out.pdbqt
1048,erythromycin,-7.9,runs/full-3L4D-CYP51-screen/docked/1048_out.pdbqt
1154,fenoprofen,-7.9,runs/full-3L4D-CYP51-screen/docked/1154_out.pdbqt
1343,guanfacine,-7.9,runs/full-3L4D-CYP51-screen/docked/1343_out.pdbqt
1392,hydroflumethiazide,-7.9,runs/full-3L4D-CYP51-screen/docked/1392_out.pdbqt
